LISTA_SETOR,SUBSETOR,ITEM_CHECKLIST,DESC_EVEREST,EST_MIN,U.M.
BAR,BEBIDAS,AGUA C/ GAS (UNID),AGUA C/ GAS,360,UNID
BAR,BEBIDAS,AGUA S/ GAS (UNID),AGUA S/ GAS,168,UNID
BAR,BEBIDAS,BARRIL CHOPP BRAHMA (LITRO),BARRIL CHOPP BRAHMA,250,LITRO
BAR,BEBIDAS,BARRIL CHOPP ESPECIAL (LITRO),BARRIL CHOPP ESPECIAL,30,LITRO
BAR,BEBIDAS,CAFE NESPRESSO DECAFFEINATO (UNID),CAFE NESPRESSO DECAFFEINATO,50,UNID
BAR,BEBIDAS,CAFE NESPRESSO LEGGERO (UNID),CAFE NESPRESSO LEGGERO,100,UNID
BAR,BEBIDAS,CAFE NESPRESSO RISTRETTO (UNID),CAFE NESPRESSO RISTRETTO,100,UNID
BAR,BEBIDAS,CERV CORONA 600ML (UNID),CERV CORONA 600ML,24,UNID
BAR,BEBIDAS,CERV ORIGINAL 600ML (UNID),CERV ORIGINAL 600ML,36,UNID
BAR,BEBIDAS,CERV PATAGONIA 740ML (UNID),CERV PATAGONIA 740ML,30,UNID
BAR,BEBIDAS,CERV SPATEN 600ML (UNID),CERV SPATEN 600ML,36,UNID
BAR,BEBIDAS,CERV STELLA ARTOIS 600ML (UNID),CERV STELLA ARTOIS 600ML,48,UNID
BAR,BEBIDAS,DEST APEROL (LITRO),DEST APEROL,5.25,LITRO
BAR,BEBIDAS,DEST CACHACA GERMANA (LITRO),DEST CACHACA GERMANA,1,LITRO
BAR,BEBIDAS,DEST CACHACA SAGATIBA PURA (LITRO),DEST CACHACA SAGATIBA PURA,7,LITRO
BAR,BEBIDAS,DEST CACHACA SALINISSIMA OURO (LITRO),DEST CACHACA SALINISSIMA OURO,2.68,LITRO
BAR,BEBIDAS,DEST CACHACA SALINISSIMA PRATA (LITRO),DEST CACHACA SALINISSIMA PRATA,2.68,LITRO
